- | [] | [20190716 17:08:43.345] | [INFO] | [PC-20190528OEHK] | [main] | [c.z.s.s.ScfcloudSystemApplication] | --> No active profile set, falling back to default profiles: default|
- | [] | [20190716 17:08:44.661] | [INFO] | [PC-20190528OEHK] | [main] | [o.a.coyote.http11.Http11NioProtocol] | --> Initializing ProtocolHandler ["http-nio-22000"]|
- | [] | [20190716 17:08:44.666] | [INFO] | [PC-20190528OEHK] | [main] | [o.a.catalina.core.StandardService] | --> Starting service [Tomcat]|
- | [] | [20190716 17:08:44.666] | [INFO] | [PC-20190528OEHK] | [main] | [o.a.catalina.core.StandardEngine] | --> Starting Servlet engine: [Apache Tomcat/9.0.17]|
- | [] | [20190716 17:08:44.766] | [INFO] | [PC-20190528OEHK] | [main] | [o.a.c.c.C.[Tomcat].[localhost].[/]] | --> Initializing Spring embedded WebApplicationContext|
- | [] | [20190716 17:08:45.094] | [INFO] | [PC-20190528OEHK] | [main] | [c.a.d.s.b.a.DruidDataSourceAutoConfigure] | --> Init DruidDataSource|
- | [] | [20190716 17:08:45.282] | [INFO] | [PC-20190528OEHK] | [main] | [c.alibaba.druid.pool.DruidDataSource] | --> {dataSource-1} inited|
- | [] | [20190716 17:08:47.039] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.PropertySourcedRequestMappingHandlerMapping] | --> Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]|
- | [] | [20190716 17:08:47.057] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.c.sources.URLConfigurationSource] | --> To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.|
- | [] | [20190716 17:08:47.061] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.c.sources.URLConfigurationSource] | --> To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.|
- | [] | [20190716 17:08:47.731] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Initializing Eureka in region us-east-1|
- | [] | [20190716 17:08:48.004] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.d.p.DiscoveryJerseyProvider] | --> Using JSON encoding codec LegacyJacksonJson|
- | [] | [20190716 17:08:48.004] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.d.p.DiscoveryJerseyProvider] | --> Using JSON decoding codec LegacyJacksonJson|
- | [] | [20190716 17:08:48.077] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.d.p.DiscoveryJerseyProvider] | --> Using XML encoding codec XStreamXml|
- | [] | [20190716 17:08:48.077] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.d.p.DiscoveryJerseyProvider] | --> Using XML decoding codec XStreamXml|
- | [] | [20190716 17:08:48.223] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.d.s.r.aws.ConfigClusterResolver] | --> Resolving eureka endpoints via configuration|
- | [] | [20190716 17:08:48.251] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Disable delta property : false|
- | [] | [20190716 17:08:48.251] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Single vip registry refresh property : null|
- | [] | [20190716 17:08:48.251] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Force full registry fetch : false|
- | [] | [20190716 17:08:48.251] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Application is null : false|
- | [] | [20190716 17:08:48.251] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Registered Applications size is zero : true|
- | [] | [20190716 17:08:48.251] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Application version is -1: true|
- | [] | [20190716 17:08:48.251] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Getting all instance registry info from the eureka server|
- | [] | [20190716 17:08:48.326] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> The response status is 200|
- | [] | [20190716 17:08:48.328] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Starting heartbeat executor: renew interval is: 30|
- | [] | [20190716 17:08:48.329] | [INFO] | [PC-20190528OEHK] | [main] | [c.n.discovery.InstanceInfoReplicator] | --> InstanceInfoReplicator onDemand update allowed rate per min is 4|
- | [] | [20190716 17:08:48.332] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Discovery Client initialized at timestamp 1563268128331 with initial instances count: 1|
- | [] | [20190716 17:08:48.335] | [INFO] | [PC-20190528OEHK] | [main] | [c.netflix.discovery.DiscoveryClient] | --> Saw local status change event StatusChangeEvent [timestamp=1563268128335, current=UP, previous=STARTING]|
- | [] | [20190716 17:08:48.337] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.p.DocumentationPluginsBootstrapper] | --> Context refreshed|
- | [] | [20190716 17:08:48.337] | [INFO] | [PC-20190528OEHK] | [DiscoveryClient-InstanceInfoReplicator-0] | [c.netflix.discovery.DiscoveryClient] | --> DiscoveryClient_SCFCLOUD-SYSTEM/PC-20190528OEHK:scfcloud-system:22000: registering service...|
- | [] | [20190716 17:08:48.356] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.p.DocumentationPluginsBootstrapper] | --> Found 1 custom documentation plugin(s)|
- | [] | [20190716 17:08:48.376] | [INFO] | [PC-20190528OEHK] | [DiscoveryClient-InstanceInfoReplicator-0] | [c.netflix.discovery.DiscoveryClient] | --> DiscoveryClient_SCFCLOUD-SYSTEM/PC-20190528OEHK:scfcloud-system:22000 - registration status: 204|
- | [] | [20190716 17:08:48.398] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.s.ApiListingReferenceScanner] | --> Scanning for api listing references|
- | [] | [20190716 17:08:48.497] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: addUsingPOST_1|
- | [] | [20190716 17:08:48.511] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: addUsingPOST_2|
- | [] | [20190716 17:08:48.515] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: findListUsingPOST_1|
- | [] | [20190716 17:08:48.547] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: findListUsingPOST_2|
- | [] | [20190716 17:08:48.615] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: auditCommitUsingPOST_1|
- | [] | [20190716 17:08:48.619] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: saveDraftUsingPOST_1|
- | [] | [20190716 17:08:48.621] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: saveFileUsingPOST_1|
- | [] | [20190716 17:08:48.662] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: addUsingPOST_3|
- | [] | [20190716 17:08:48.664] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: deleteUsingPOST_1|
- | [] | [20190716 17:08:48.669] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: findListUsingPOST_3|
- | [] | [20190716 17:08:48.674] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: isExistUsingPOST_1|
- | [] | [20190716 17:08:48.676] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: addUsingPOST_4|
- | [] | [20190716 17:08:48.678] | [INFO] | [PC-20190528OEHK] | [main] | [s.d.s.w.r.o.CachingOperationNameGenerator] | --> Generating unique operation named: deleteUsingPOST_2|
